"","Naive_Kaech_Kaech","Naive_Kaech_Chung","Naive_Mackay_Chung","Naive_MilnerAug_Chung","Naive_Renkema_Chung","Naive_Scott_Scott","MP_Kaech_Chung","MP_Kaech_Kaech","MP_Kaech_Scott","MP_MilnerAug_Kaech","MP_MilnerAug_Scott","MP_MilnerAug_Chung","TE_Kaech_Chung","TE_Kaech_Kaech","TE_Kaech_Scott","TE_MilnerAug_Kaech","TE_MilnerAug_Scott","TE_MilnerAug_Chung","TCM_Mackay_Chung","TCM_MilnerAug_Chung","TCM_Renkema_Chung","TEM_Mackay_Chung","TEM_MilnerAug_Chung","TEM_Renkema_Chung","TRM.IEL_Milner17_Milner17","TRM.IEL_MilnerApr_Chung","TRM.IEL_MilnerApr_Milner17","TRM.IEL_Milner17_Chung","TRM.liver_Mackay_Chung","TexProg1_Beltra_Beltra","TexProg2_Beltra_Beltra","TexProg_Beltra_Chung","TexProg_Hudson_Chung","TexProg_Hudson_Beltra","TexInt_Beltra_Beltra","TexInt_Beltra_Chung","TexInt_Hudson_Chung","TexInt_Hudson_Beltra","TexTerm_Beltra_Beltra","TexTerm_Beltra_Chung","TexTerm_Hudson_Chung","TexTerm_Hudson_Beltra"
"Tbx2",0,0,0.04,0.13,0,0,0.06,0.06,0.06,0,0,0,0.02,0.02,0.02,0.16,0.16,0.16,0.1,0,0,0.13,0,0,0.4,0,0,0.4,0.1,0,0,0,0.03,0.03,0,0,0,0,0,0,0.03,0.03
"Rbak",4.28,4.28,2.63,8.73,0,4.37,14.3,14.3,14.3,3.69,3.69,3.69,13.49,13.49,13.49,6.2,6.2,6.2,11.21,0,0,15.43,0.49,0,2.24,0.62,0.62,2.24,12.63,6.51,12.6,6.51,15,15,10.62,10.62,10.94,10.94,15.44,15.44,15.79,15.79
"Tfap2c",0,0,0,0,0,0,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foxp3",0.95,0.95,0.38,2.52,12.23,0.51,0,0,0,0.97,0.97,0.97,0.06,0.06,0.06,0.8,0.8,0.8,0.37,0.78,9.01,0.4,1.11,1.3,0.81,1.67,1.67,0.81,0.45,0.56,0.2,0.56,0.11,0.11,1.03,1.03,1.06,1.06,0.98,0.98,2.91,2.91
"Nfat5",14.2,14.2,5.16,9.27,4.82,0.71,41.63,41.63,41.63,3.8,3.8,3.8,40.48,40.48,40.48,6.55,6.55,6.55,38.27,1.94,0,56.59,2.68,0.83,10.31,4.76,4.76,10.31,67.41,1.3,1.14,1.3,8.98,8.98,3.89,3.89,5.83,5.83,5.94,5.94,9.29,9.29
"Hoxb3",1.04,1.04,0,0,0,0,0.38,0.38,0.38,0,0,0,0.08,0.08,0.08,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foxq1",0,0,0.02,0,0,0,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gmeb2",18.21,18.21,10.12,2.96,0,8.67,31.48,31.48,31.48,2.6,2.6,2.6,27.99,27.99,27.99,2.86,2.86,2.86,27.6,4.64,0,36.38,1.3,16.51,5.07,2.06,2.06,5.07,36.15,7.43,13.54,7.43,25.87,25.87,15.33,15.33,24.84,24.84,14.22,14.22,21.88,21.88
"Onecut1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mafa",0,0,0.04,0,0,0,0.07,0.07,0.07,0,0,0,4.58,4.58,4.58,0,0,0,0.07,0,0,0.47,0,0,0,0,0,0,0.26,0,0,0,0,0,1.88,1.88,0.3,0.3,0,0,0.22,0.22
"Rel",16.87,16.87,7.1,7.79,2.84,8.09,23.19,23.19,23.19,6.48,6.48,6.48,22.99,22.99,22.99,7.01,7.01,7.01,17.13,2.09,0,19.61,2.64,1.3,30.24,8.91,8.91,30.24,22.66,1.83,2.05,1.83,12.09,12.09,2.34,2.34,3.76,3.76,2.37,2.37,3.45,3.45
"Smad4",102.85,102.85,54.76,16.35,2.16,7.29,73.97,73.97,73.97,11.52,11.52,11.52,97.82,97.82,97.82,10.56,10.56,10.56,65.06,16.43,0,74.78,14.52,6.94,8.46,3.98,3.98,8.46,52.13,72.44,119.46,72.44,101.89,101.89,57.79,57.79,81.28,81.28,132.52,132.52,73.64,73.64
"Lhx1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhox8",0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zfp580",7.59,7.59,4.77,1.06,0,9.32,4.64,4.64,4.64,7.36,7.36,7.36,4.41,4.41,4.41,4.25,4.25,4.25,3.25,1.15,0,1.54,0,0,3.25,0.22,0.22,3.25,0.94,3.06,5.06,3.06,4.73,4.73,3.05,3.05,1.97,1.97,1.18,1.18,1.95,1.95
"Zfp661",4.06,4.06,1.44,2.57,0,4.24,3.16,3.16,3.16,1.04,1.04,1.04,2.17,2.17,2.17,0.53,0.53,0.53,4.2,1.58,0,3.73,0.14,0,0.53,1.77,1.77,0.53,2.5,3.56,2.09,3.56,4.25,4.25,1.44,1.44,0.81,0.81,0.93,0.93,0.81,0.81
"Arid3b",22.5,22.5,8.1,14.12,0,12.16,48.23,48.23,48.23,14.57,14.57,14.57,55.28,55.28,55.28,20.86,20.86,20.86,40.78,15.58,2.6,50.86,25.22,1.65,10.07,12.74,12.74,10.07,29.71,3.48,9.45,3.48,12.46,12.46,17.56,17.56,28.26,28.26,17.67,17.67,21.64,21.64
"Pitx2",0,0,0.03,0.31,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08
"Hoxa7",1.25,1.25,1.58,2.28,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.04,0,0,0,0,0,0,0.09,0.27,0,0.27,0.39,0.39,0,0,0,0,0,0,0,0
"Snai2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nfatc3",70.62,70.62,77.87,14.65,13,10.85,198.61,198.61,198.61,22.77,22.77,22.77,232.75,232.75,232.75,29.38,29.38,29.38,149.03,12.79,13.08,218.44,20.08,9.72,20.04,8.52,8.52,20.04,146.53,45.65,93,45.65,124.1,124.1,172.66,172.66,131.74,131.74,101.06,101.06,121.7,121.7
"Klf13",92.32,92.32,86.62,132.26,7.76,329.9,152.54,152.54,152.54,80.4,80.4,80.4,135.58,135.58,135.58,78,78,78,71.1,30.59,6.13,86.54,43.5,10.93,37.46,26.07,26.07,37.46,59.01,48.24,131.61,48.24,120.52,120.52,130.89,130.89,119.28,119.28,79.55,79.55,85.47,85.47
"Tef",13.52,13.52,7.73,4.42,11.64,2.47,20.54,20.54,20.54,2.34,2.34,2.34,24.15,24.15,24.15,0.51,0.51,0.51,52.79,2.01,0,110.19,11.23,2.24,3.09,4.44,4.44,3.09,64.54,6.7,8.33,6.7,20.64,20.64,35.64,35.64,20.35,20.35,31.18,31.18,26.45,26.45
"E2f6",10.63,10.63,9.6,7.15,0,6.37,9.76,9.76,9.76,2.37,2.37,2.37,6.86,6.86,6.86,2.83,2.83,2.83,13.68,1.47,0,12.62,1.94,0,2.9,0.53,0.53,2.9,17.46,24.49,30.29,24.49,29.59,29.59,18.43,18.43,29.28,29.28,25.5,25.5,26.42,26.42
"Sp6",1.46,1.46,0.34,0.13,0,0.07,0.46,0.46,0.46,0.24,0.24,0.24,0.39,0.39,0.39,0.16,0.16,0.16,0.6,0.53,0,0.64,0.16,0,0.13,0.06,0.06,0.13,0.29,0,0,0,0.44,0.44,0.15,0.15,0.35,0.35,0.14,0.14,0,0
"Tcf4",14.37,14.37,0.47,5.76,0,1.82,5.77,5.77,5.77,3.18,3.18,3.18,8.11,8.11,8.11,3.36,3.36,3.36,2.51,1.27,0,2.64,7.64,0,6.46,3.08,3.08,6.46,2.66,10.05,3.56,10.05,5.39,5.39,10.83,10.83,4.38,4.38,12.04,12.04,3.42,3.42
"Sox10",0,0,0,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gata6",0,0,0,0,0,0,0.09,0.09,0.09,0,0,0,0.04,0.04,0.04,0,0,0,0.02,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tbx21",7.72,7.72,2.57,0.79,0,5.23,219.87,219.87,219.87,115.54,115.54,115.54,441.87,441.87,441.87,230.12,230.12,230.12,148.76,89.29,0,233.37,141.69,4.11,102.87,147.38,147.38,102.87,124.65,156.51,224.95,156.51,147.6,147.6,418.63,418.63,333.3,333.3,222.62,222.62,172.39,172.39
"Relb",38.75,38.75,26.27,30.05,3.44,43.83,34.93,34.93,34.93,19.24,19.24,19.24,23.3,23.3,23.3,11.47,11.47,11.47,24.19,17.94,0,22.45,25.84,0,29.99,45.77,45.77,29.99,28.48,70.14,41.33,70.14,105.25,105.25,20.71,20.71,58.45,58.45,62.63,62.63,79.82,79.82
"Egr3",12.65,12.65,6.59,0.77,11.31,0.26,1.45,1.45,1.45,0.24,0.24,0.24,2.23,2.23,2.23,0,0,0,1.13,0.17,0,1,0,3.86,0,0.81,0.81,0,3.01,0,0,0,1.44,1.44,0,0,0.53,0.53,0,0,0.16,0.16
"Esx1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klf6",54.29,54.29,45.43,34.45,10.27,97.7,90.93,90.93,90.93,35.82,35.82,35.82,91.96,91.96,91.96,37.95,37.95,37.95,91.08,35.49,18.91,122.19,49.9,8.2,160.13,401.08,401.08,160.13,91.79,63.69,135.06,63.69,44.3,44.3,96.19,96.19,60.11,60.11,131.66,131.66,46.03,46.03
"Zfp647",1.9,1.9,0.73,0.99,0,1.29,0.22,0.22,0.22,0.2,0.2,0.2,0.28,0.28,0.28,0,0,0,1.89,0,0,1.23,0.19,0,1,0,0,1,0.86,1.09,1.01,1.09,1.67,1.67,1.48,1.48,0.59,0.59,0.36,0.36,0.57,0.57
