TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Zfp324 Gmeb1 Nkx6-2 87 20 ko oe oe
Zfp324 Bhlha15 Npas2 87 20 ko oe oe
Zfp324 Foxd2 Npas2 87 20 ko ko oe
Zfp324 Zfp113 Nr5a1 87 20 ko ko oe
Zfp324 Bhlha15 Nr6a1 87 20 ko oe oe
Zfp324 Foxd2 Nr6a1 87 20 ko ko oe
Zfp324 Bhlha15 Otx2 87 20 ko oe oe
Zfp324 Foxd2 Otx2 87 20 ko ko oe
Zfp324 Zfp282 Ovol1 87 20 ko ko oe
Zfp324 Gmeb1 Ovol2 87 20 ko oe ko
Zfp324 Gmeb1 Pax3 87 20 ko oe ko
Zfp324 Bhlha15 Pax6 87 20 ko oe ko
Zfp324 Foxd2 Pax6 87 20 ko ko ko
Zfp324 Bhlha15 Pax8 87 20 ko oe oe
Zfp324 Cxxc1 Pou1f1 87 20 ko ko oe
Zfp324 Gmeb1 Pou3f2 87 20 ko oe oe
Zfp324 Bhlha15 Pou4f1 87 20 ko oe oe
Zfp324 Foxd2 Pou4f1 87 20 ko ko oe
Zfp324 Gmeb1 Ppara 87 20 ko oe oe
Zfp324 Foxd2 Prdm11 87 20 ko ko ko
Zfp324 Foxd2 Prox2 87 20 ko ko ko
Zfp324 Gmeb1 Rorb 87 20 ko oe ko
Zfp324 Gmeb1 Sox13 87 20 ko oe ko
Zfp324 Foxd2 Sox21 87 20 ko ko oe
Zfp324 Bhlha15 Sox6 87 20 ko oe ko
Zfp324 Foxd2 Sox6 87 20 ko ko ko
Zfp324 Gmeb1 Tcf21 87 20 ko oe ko
Zfp324 Bhlha15 Tcf7l2 87 20 ko oe ko
Zfp324 Foxd2 Tcf7l2 87 20 ko ko ko
Zfp324 Bhlha15 Tet1 87 20 ko oe oe
Zfp324 Sp6 Thrb 87 20 ko oe ko
Zfp324 Plag1 Vdr 87 20 ko oe ko
Zfp324 Zfp113 Zfp248 87 20 ko ko ko
Zfp324 Zfp113 Zfp653 87 20 ko ko ko
Zfp324 Plag1 Zkscan17 87 20 ko oe ko
Zfp324 Gmeb1 Zscan4f 87 20 ko oe oe
Zfp324 Plag1 Zzz3 87 20 ko oe ko
Zfp324 Zfp282 Alx4 86 20 ko ko ko
